Date,Object,Index,Name,NewStat,NewCt,NewTm,Note
01/15/2014 12:00:05.236 AM,DI,1,INDEX COMLPETE,0,7347,23041,DI Change
01/15/2014 12:00:05.256 AM,DI,4,UNITS RETURNED,1,7423,63766,DI Change
01/15/2014 12:00:06.988 AM,DI,2,FIXTURES CLAMPLED,1,7427,57600,DI Change
01/15/2014 12:00:11.023 AM,DI,1,INDEX COMLPETE,1,7348,23041,DI Change
01/15/2014 12:00:11.043 AM,DI,4,UNITS RETURNED,0,7423,63771,DI Change
01/15/2014 12:00:12.007 AM,DI,2,FIXTURES CLAMPLED,0,7427,57605,DI Change
01/15/2014 12:00:23.034 AM,DI,1,INDEX COMLPETE,0,7348,23053,DI Change
01/15/2014 12:00:23.053 AM,DI,4,UNITS RETURNED,1,7424,63771,DI Change
01/15/2014 12:00:25.004 AM,DI,2,FIXTURES CLAMPLED,1,7428,57605,DI Change
01/15/2014 12:00:28.934 AM,DI,1,INDEX COMLPETE,1,7349,23053,DI Change
01/15/2014 12:00:28.953 AM,DI,4,UNITS RETURNED,0,7424,63777,DI Change
01/15/2014 12:00:29.915 AM,DI,2,FIXTURES CLAMPLED,0,7428,57610,DI Change
01/15/2014 12:00:40.835 AM,DI,1,INDEX COMLPETE,0,7349,23065,DI Change
01/15/2014 12:00:40.855 AM,DI,4,UNITS RETURNED,1,7425,63777,DI Change
01/15/2014 12:00:43.019 AM,DI,2,FIXTURES CLAMPLED,1,7429,57610,DI Change
01/15/2014 12:00:46.514 AM,DI,3,SPINDLE,0,123,9743,DI Change
01/15/2014 12:00:46.627 AM,DI,2,FIXTURES CLAMPLED,0,7429,57613,DI Change
01/15/2014 12:00:46.641 AM,DI,4,UNITS RETURNED,0,7425,63783,DI Change
01/15/2014 12:40:22.118 AM,DI,2,FIXTURES CLAMPLED,1,7430,57613,DI Change
01/15/2014 12:40:30.961 AM,DI,2,FIXTURES CLAMPLED,0,7430,57622,DI Change
01/15/2014 12:40:41.338 AM,DI,2,FIXTURES CLAMPLED,1,7431,57622,DI Change
01/15/2014 12:40:41.353 AM,DI,4,UNITS RETURNED,1,7426,63783,DI Change
01/15/2014 12:40:47.343 AM,DI,1,INDEX COMLPETE,1,7350,23065,DI Change
01/15/2014 12:40:47.363 AM,DI,4,UNITS RETURNED,0,7426,63789,DI Change
01/15/2014 12:40:49.310 AM,DI,1,INDEX COMLPETE,0,7350,23067,DI Change
01/15/2014 12:40:49.330 AM,DI,4,UNITS RETURNED,1,7427,63789,DI Change
01/15/2014 12:40:50.952 AM,DI,3,SPINDLE,1,124,9743,DI Change
01/15/2014 12:40:53.681 AM,DI,4,UNITS RETURNED,0,7427,63793,DI Change
01/15/2014 12:40:53.788 AM,DI,2,FIXTURES CLAMPLED,0,7431,57634,DI Change
01/15/2014 12:41:04.274 AM,DI,4,UNITS RETURNED,1,7428,63793,DI Change
01/15/2014 12:41:07.549 AM,DI,2,FIXTURES CLAMPLED,1,7432,57634,DI Change
01/15/2014 12:41:11.704 AM,DI,1,INDEX COMLPETE,1,7351,23067,DI Change
01/15/2014 12:41:11.723 AM,DI,4,UNITS RETURNED,0,7428,63801,DI Change
01/15/2014 12:41:12.683 AM,DI,2,FIXTURES CLAMPLED,0,7432,57640,DI Change
01/15/2014 12:41:24.258 AM,DI,1,INDEX COMLPETE,0,7351,23080,DI Change
01/15/2014 12:41:24.279 AM,DI,4,UNITS RETURNED,1,7429,63801,DI Change
01/15/2014 12:41:26.443 AM,DI,2,FIXTURES CLAMPLED,1,7433,57640,DI Change
01/15/2014 12:41:30.270 AM,DI,1,INDEX COMLPETE,1,7352,23080,DI Change
01/15/2014 12:41:30.377 AM,DI,4,UNITS RETURNED,0,7429,63807,DI Change
01/15/2014 12:41:31.364 AM,DI,2,FIXTURES CLAMPLED,0,7433,57644,DI Change
01/15/2014 12:41:42.610 AM,DI,1,INDEX COMLPETE,0,7352,23092,DI Change
01/15/2014 12:41:42.724 AM,DI,4,UNITS RETURNED,1,7430,63807,DI Change
01/15/2014 12:41:45.014 AM,DI,2,FIXTURES CLAMPLED,1,7434,57644,DI Change
01/15/2014 12:41:49.160 AM,DI,1,INDEX COMLPETE,1,7353,23092,DI Change
01/15/2014 12:41:49.180 AM,DI,4,UNITS RETURNED,0,7430,63813,DI Change
01/15/2014 12:41:50.144 AM,DI,2,FIXTURES CLAMPLED,0,7434,57650,DI Change
01/15/2014 12:42:01.391 AM,DI,1,INDEX COMLPETE,0,7353,23105,DI Change
01/15/2014 12:42:01.507 AM,DI,4,UNITS RETURNED,1,7431,63813,DI Change
01/15/2014 12:42:03.250 AM,DI,2,FIXTURES CLAMPLED,1,7435,57650,DI Change
01/15/2014 12:42:07.620 AM,DI,1,INDEX COMLPETE,1,7354,23105,DI Change
01/15/2014 12:42:07.640 AM,DI,4,UNITS RETURNED,0,7431,63820,DI Change
01/15/2014 12:42:08.601 AM,DI,2,FIXTURES CLAMPLED,0,7435,57655,DI Change
01/15/2014 12:42:19.416 AM,DI,1,INDEX COMLPETE,0,7354,23116,DI Change
01/15/2014 12:42:19.525 AM,DI,4,UNITS RETURNED,1,7432,63820,DI Change
01/15/2014 12:42:21.597 AM,DI,2,FIXTURES CLAMPLED,1,7436,57655,DI Change
01/15/2014 12:42:25.856 AM,DI,1,INDEX COMLPETE,1,7355,23116,DI Change
01/15/2014 12:42:25.876 AM,DI,4,UNITS RETURNED,0,7432,63826,DI Change
01/15/2014 12:42:26.839 AM,DI,2,FIXTURES CLAMPLED,0,7436,57660,DI Change
01/15/2014 12:42:37.766 AM,DI,1,INDEX COMLPETE,0,7355,23128,DI Change
01/15/2014 12:42:37.786 AM,DI,4,UNITS RETURNED,1,7433,63826,DI Change
01/15/2014 12:42:39.841 AM,DI,2,FIXTURES CLAMPLED,1,7437,57660,DI Change
01/15/2014 12:42:43.986 AM,DI,1,INDEX COMLPETE,1,7356,23128,DI Change
